Al (%),Mg (%),Si (%),Zn (%),Temperature (°C),Rolling Speed (m/s),"Heat Treatment (Yes=1, No=0)",Tensile Strength (MPa),Yield Strength (MPa),Elongation (%)
93.49816047538945,2.494563273866794,1.5949974664849556,1.2762891367443479,394.8368061806625,1.0777892621571357,1,352.74823281484726,284.9351295437745,8.936476404181198
95.80285722563967,2.331648384925613,0.7767679933980673,0.9185849070683862,364.2226662743087,0.7956136349754963,0,325.20093438844776,269.058316014633,13.564706990098548
94.92797576724563,1.7046156500114402,1.0199595415548293,1.9289970497278817,368.9538837458324,0.5563724885057486,0,319.2894700608811,259.44184775269775,13.605959192148159
94.39463393678815,3.4290666804059518,1.4949209552867273,0.43795690196847636,377.10066922713827,0.9893134292880741,1,373.56453315755925,296.761737721484,8.044613135310275
92.62407456176975,2.9064966420345155,1.22313401678672,1.1757128319978813,380.5480001547422,0.7349425085466366,1,361.85009482184927,290.40685967210345,9.73613118165045
92.62397808134482,4.462803969296015,1.6078565579523407,1.4004200299804452,386.3392713815816,0.8757019867619977,0,355.12715337773017,286.2633666108494,9.955188439422637
92.2323344486728,1.128438321928233,1.9418118518342895,1.6511289786907632,388.31900434452416,0.4858122321391511,0,315.6584965267751,266.2313912576965,13.401953016490992
95.46470458309975,3.5754717102205054,0.6748200315727962,0.8139420608560142,418.3574518231304,0.9052671916127938,0,332.91842132936944,283.06855447612827,8.279871464186467
94.40446004697283,4.051795514046244,1.5643515745970915,1.373843815314963,426.4359786239062,0.6988403911560994,1,378.4361277402517,297.0083314821255,7.781978154044797
94.83229031118418,4.037946276753228,0.8455162334481718,0.6064029427685655,396.3318812189534,0.6673517997747955,1,375.13345131774247,314.8597523147628,7.8545535033022915
92.08233797718322,4.5442958683821,1.1217150911113538,0.8709521847236406,486.0944629881092,1.183932463022241,0,352.52756959130863,292.2582917559146,7.177814467528595
95.87963940864798,3.9161349713179763,0.5492940886927098,1.7912542624067984,432.97095850084315,0.7459445142081977,1,379.3057028415957,297.8995348648802,7.386308947887441
95.32977056320169,4.711240246590785,0.7038610734390485,1.8998152186619086,468.121539205011,0.9424307024925873,0,357.034757713516,283.3583605104401,7.142478925057838
92.8493564427131,2.330626399283566,0.9796659335733495,1.4376346938545295,488.6356748631265,0.9021820284590728,1,360.4626796559322,290.347468657837,7.859319884679621
92.7272998688284,3.0128376670061723,1.0129787079319774,0.74870378155237,374.4702671863708,0.48344284070812615,1,369.2402363538762,297.6247773484391,8.701442988280096
92.73361803941374,1.0563186531315627,1.8493778246931436,1.640115579949328,414.1811725573452,0.9983420296514529,0,321.12077086874933,267.28630710771506,14.867658019999453
93.21696897183816,1.0278303492131649,1.6127193638997728,0.051734163450840365,414.9815602571913,0.6585273627468612,0,324.2394121535168,260.7649154624929,13.779491167346901
94.09902572652895,1.9605064818060796,1.9582744522805617,0.20549182107884212,403.1708375657531,1.0391516393573879,1,361.2158499970416,282.36530892951953,10.23612502630208
